# JD     RV     RV_err 
 2456946.629200  21.680820  0.0071254274 
 2456946.645100  21.643048  0.0077128338 
 2456946.672100  21.636547  0.0076703673 
 2456946.730700  21.520937  0.0079378751 
 2456946.747300  21.476463  0.0076164164 
 2456946.754800  21.466096  0.0077607515 
 2456946.758400  21.472421  0.0073343169 
 2456947.637900  21.617937  0.0072694311 
 2456947.645100  21.663926  0.0070492566 
 2456947.708900  21.635843  0.0071758410 
 2456947.734400  21.692054  0.0071715381 
 2456947.742000  21.654200  0.0071087112 
 2456947.749400  21.708246  0.0070189675 
 2456947.757400  21.665158  0.0074730104 
 2456953.601300  21.745643  0.0078071461 
 2456953.643600  21.763312  0.0078692671 
 2456953.678300  21.736916  0.0070284227 
 2456953.705700  21.677683  0.0072030134 
 2456953.728000  21.660555  0.0072646543 
 2456953.741100  21.698522  0.0064862047 
 2456953.745100  21.688424  0.0070287573 
 2456953.761500  21.718617  0.0072344514 
 2456954.618000  21.591502  0.0077576808 
 2456954.634700  21.720864  0.0069036902 
 2456954.655900  21.621381  0.0080867020 
 2456954.665800  21.573137  0.0081538732 
 2456954.699900  21.672637  0.0074701178 
 2456954.703500  21.658551  0.0072997344 
 2456954.707100  21.555391  0.0079660040 
 2456954.730100  21.566162  0.0087846981 
 2456954.741800  21.547130  0.0081625332 
 2456954.746100  21.666368  0.0080211701 
 2456954.750100  21.655864  0.0080760334 
 2456954.758100  21.798077  0.0076175941 
 2456955.622800  21.901712  0.0071788726 
 2456955.638900  21.902833  0.0075357261 
 2456956.599500  21.764322  0.0074208985 
 2456956.646600  21.706392  0.0074338544 
 2456956.663800  21.704250  0.0070003641 
 2456956.701300  21.511389  0.0074001470 
 2456958.616300  21.507517  0.0187540850 
 2456958.649900  21.722064  0.0144957460 
 2456960.584700  21.779350  0.0076944579 
 2456960.622600  21.787498  0.0075593672 
 2456960.706200  21.750155  0.0070480583 
 2456960.714700  21.746604  0.0074762821 
 2456960.722600  21.718860  0.0070922562 
 2456960.726400  21.765419  0.0065407792 
 2456960.730300  21.761790  0.0074565446 
 2456960.738500  21.719482  0.0072192876 
 2456960.746900  21.757131  0.0069178644 
 2456960.754900  21.757168  0.0068584396 
 2456960.758700  21.732831  0.0071361750 
 2456960.763100  21.746124  0.0073459202 
 2456961.589300  21.755680  0.0074180341 
 2456961.606200  21.741421  0.0072601250 
 2456961.610000  21.698781  0.0082082360 
 2456961.748300  21.665582  0.0078359113 
 2456961.756200  21.731022  0.0077458307 
 2456961.763600  21.719459  0.0078826216 
 2456962.649200  21.794904  0.0079767173 
 2456967.598600  21.831281  0.0077848281 
 2456967.754600  21.768757  0.0074475679 
 2456968.755100  21.693042  0.0085405913 
 2456968.766400  21.708891  0.0090479055 
 2456968.770300  21.696724  0.0087694729 
 2456969.705400  21.771550  0.0077904355 
 2456969.722400  21.729232  0.0076889530 
 2456969.726800  21.668121  0.0080858363 
 2456969.738600  21.605169  0.0085334268 
 2456969.755500  21.604296  0.0072970228 
 2456969.759400  21.548554  0.0079441055 
 2456970.594100  21.760609  0.0077030166 
 2456970.628200  21.767265  0.0081610030 
 2456970.631800  21.701174  0.0087642941 
 2456970.664400  21.757176  0.0078861014 
 2456970.686000  21.756163  0.0077158328 
 2456970.694200  21.766459  0.0076845435 
 2456970.701900  21.761106  0.0074560989 
 2456970.706100  21.762567  0.0078185709 
 2456970.709700  21.737963  0.0073289473 
 2456970.717900  21.740919  0.0081563682 
 2456970.736900  21.780908  0.0077931752 
 2456970.740700  21.748142  0.0078175146 
 2456972.697600  21.789056  0.0082594037 
 2456972.750300  21.786365  0.0080644850 
 2456972.761700  21.786770  0.0075273307 
 2456981.728800  21.779809  0.0101047630 
 2456986.609500  21.960786  0.0077826319 
 2456986.670200  21.925455  0.0081726588 
 2456986.678300  21.922790  0.0082216288 
 2456987.709600  21.988573  0.0082864304 
 2456987.720800  21.980257  0.0088700436 
 2456987.767700  21.976505  0.0080610966 
 2456999.586300  22.108601  0.0080586874 
 2457001.611200  22.050147  0.0084642673 
 2457003.592900  22.216181  0.0091751961 
 2457010.574500  22.354430  0.0075624874 
 2457011.476200  22.417366  0.0075994704 
 2457011.515900  22.375415  0.0083092331 
 2457011.524400  22.387150  0.0084983541 
 2457011.528000  22.387063  0.0080523864 
 2457011.531600  22.369450  0.0083994598 
 2457011.535300  22.400564  0.0078130872 
 2457011.538900  22.383541  0.0085770335 
 2457011.542600  22.379937  0.0081584568 
 2457011.550800  22.396896  0.0081597214 
 2457011.554500  22.384499  0.0080873668 
 2457011.563200  22.409294  0.0079255145 
 2457011.566800  22.369626  0.0081746707 
 2457018.502900  22.529288  0.0072324430 
 2457019.614100  22.436788  0.0080101434 
 2457020.478300  22.511498  0.0076457043 
 2457021.460000  22.502979  0.0078706122 
 2457021.497500  22.512493  0.0079590180 
 2457021.522700  22.544967  0.0074765454 
 2457021.547800  22.512776  0.0075223498 
 2457024.469200  22.461327  0.0095528542 
 2457025.433100  22.462641  0.0074417204 
 2457025.492900  22.496085  0.0073617644 
 2457025.497000  22.496203  0.0076853579 
 2457025.528800  22.434897  0.0090994429 
 2457025.534000  22.432128  0.0085328644 
 2457025.538400  22.389632  0.0095172975 
 2457026.440200  22.471240  0.0076284906 
 2457026.473500  22.458268  0.0077100804 
 2457026.477300  22.456653  0.0075949686 
 2457026.498900  22.449381  0.0089421375 
 2457026.533900  22.451703  0.0075955618 
 2457026.543100  22.468063  0.0075662720 
 2457026.663900  22.453350  0.0080203061 
 2457026.668900  22.328828  0.0116898360 
 2457026.672800  22.487410  0.0090789408 
 2457027.438400  22.502318  0.0071934397 
 2457027.540900  22.472625  0.0070833062 
 2457027.552200  22.463775  0.0074283252 
 2457027.567800  22.437821  0.0075175781 
 2457027.584000  22.461935  0.0077710888 
 2457027.589600  22.446908  0.0075195082 
 2457027.601200  22.442713  0.0076958267 
 2457027.609800  22.461130  0.0074691414 
 2457028.422300  22.481830  0.0075273626 
 2457028.499800  22.424290  0.0076979272 
 2457028.525800  22.431952  0.0080860446 
 2457028.541800  22.445689  0.0077076859 
 2457029.516600  22.438463  0.0069641935 
 2457029.532800  22.443169  0.0069282046 
 2457029.537200  22.463466  0.0081828476 
 2457029.548500  22.462185  0.0078915650 
 2457029.564200  22.477929  0.0083162929 
 2457029.567900  22.446618  0.0069997863 
 2457029.581100  22.434596  0.0075851390 
 2457029.592800  22.427241  0.0077166982 
 2457029.601100  22.367417  0.0077101347 
 2457029.606400  22.417194  0.0074706096 
 2457029.610200  22.447132  0.0077639380 
 2457038.417500  22.421424  0.0071217600 
 2457038.572200  22.347887  0.0069063315 
 2457038.583900  22.355579  0.0071395890 
 2457040.429100  22.393428  0.0083361580 
 2457040.466300  22.362453  0.0084877326 
 2457040.469900  22.352806  0.0085257736 
 2457040.516200  22.370985  0.0080969546 
 2457040.524900  22.400236  0.0071977980 
 2457040.532800  22.393033  0.0075195430 
 2457040.536400  22.370136  0.0074817570 
 2457040.540000  22.412005  0.0073827607 
 2457040.547700  22.395345  0.0085227860 
 2457040.555800  22.390993  0.0075134860 
 2457040.559700  22.385178  0.0081573618 
 2457040.563300  22.382607  0.0074639387 
 2457040.566900  22.383033  0.0074187536 
 2457040.570500  22.376832  0.0078081651 
 2457040.578500  22.345870  0.0077859145 
 2457040.603700  22.395096  0.0075351066 
 2457044.419400  22.394623  0.0070308310 
 2457044.488200  22.419160  0.0066662364 
 2457044.542500  22.407638  0.0067920384 
 2457044.558700  22.401490  0.0066427951 
 2457044.562300  22.396270  0.0072399133 
 2457045.430100  22.442292  0.0069644592 
 2457045.463900  22.429844  0.0069453216 
 2457045.476000  22.419385  0.0068721773 
 2457045.514700  22.423754  0.0069026168 
 2457045.523200  22.413295  0.0075101077 
 2457045.531600  22.390648  0.0073468804 
 2457045.535500  22.408804  0.0075723938 
 2457045.539500  22.442142  0.0071159606 
 2457045.543200  22.417723  0.0070180744 
 2457045.547300  22.404052  0.0074362415 
 2457045.555600  22.416637  0.0073542265 
 2457045.559400  22.424610  0.0070299017 
 2457045.563400  22.427510  0.0063298842 
 2457045.567300  22.415125  0.0072398798 
 2457045.590300  22.449299  0.0078899586 
 2457046.435400  22.470466  0.0070606240 
 2457046.455300  22.437919  0.0071312028 
 2457046.458900  22.466775  0.0068018132 
 2457046.471800  22.467747  0.0070054793 
 2457046.475400  22.480875  0.0067747249 
 2457046.487900  22.447136  0.0065545310 
 2457046.518000  22.448491  0.0068853495 
 2457046.521900  22.406000  0.0070095618 
