JD,RV,RV_err,NP
2455095.1608442776,23.270715,0.014517302,1
2455105.1618407248,23.48049333333333,0.10018073891500036,3
2455115.162837173,23.7565685,0.04374650000000102,2
2455125.16383362,23.872906,0.013144057,1
2455135.1648300677,23.794376,0.012764867,1
2455145.1658265153,23.41431233333333,0.07266731173566826,3
2455155.1668229625,23.084894333333335,0.0748681258139192,3
2455165.1678194106,22.825541666666666,0.06261358652525496,3
2455175.1688158577,22.700266,0.014267937739235495,2
2455205.1718052,22.50349525,0.044937370775195565,4
2455215.1728016483,22.66682642857143,0.08915412226164808,7
2455225.1737980954,22.930838,0.015941043,1
2455235.1747945426,23.434405,0.016271743,1
2455245.1757909907,23.622624,0.016237661,1
2455255.176787438,23.973829,0.016190094,1
2455265.1777838855,24.289784,0.015314694,1
2455275.178780333,24.362393,0.015463445,1
2455285.1797767803,24.126386999999998,0.09072657333255077,3
2455295.1807732284,23.7238235,0.12142949999999963,2
2455445.195719941,23.632162,0.0074359325,1
2455455.1967163887,23.845221,0.011174407,1
2455505.2016986264,20.36384,0.012455666,1
2455525.2036915217,21.115842999999998,0.04382900000000056,2
2455595.2106666537,19.997468,0.011069938,1
2455605.211663102,20.405166,0.023192472,1
2455615.212659549,20.293181,0.020324999999999704,2
2455625.2136559966,20.366257,0.013269576,1
2455635.2146524442,20.6524535,0.06661250000000152,2
2455645.2156488914,21.346641,0.011420945,1
2455655.2166453395,21.180782,0.0096925831,1
2455795.2305956045,19.650641333333336,0.12693162951587586,3
2455805.2315920517,19.9606605,0.04715050000000076,2
2455815.2325885,20.35395433333333,0.114314484285919,3
2455825.233584947,20.6905158,0.07342644619318024,5
2455855.2365742894,20.910404,0.012631886,1
2455865.2375707375,20.619391142857143,0.18596120591243748,7
2455875.2385671847,20.015115875,0.12571298479914284,8
2455885.2395636323,19.625581,0.07328058599050045,9
2455895.24056008,19.334898,0.056794823308701996,3
2455915.242552975,18.647374,0.013001598,1
2455925.2435494224,18.228265099999998,0.17129678444410457,10
2455935.2445458695,17.65439183333333,0.19923200463732088,6
2455945.2455423176,17.032727,0.013792632,1
2455955.246538765,16.1424278,0.1812216003995102,5
2455965.247535213,15.8158085,0.0807830590486023,4
2455985.2495281072,16.02737,0.13724247083416535,3
2455995.2505245553,16.261261,0.015367575,1
2456005.2515210025,16.623334,0.015352374,1
2456015.25251745,16.843382,0.017058473,1
2456155.2664677156,19.15652,0.06923199999999952,2
2456165.267464163,19.154525,0.0080365471,1
2456175.268460611,19.145628333333335,0.016379713068983368,3
2456185.269457058,19.050108666666667,0.029191679115041953,3
2456195.2704535057,19.220260666666665,0.06505455675730029,3
2456205.2714499533,19.218901428571428,0.053114124951728035,7
2456215.2724464005,18.9361685,0.25906550000000017,2
2456225.2734428486,17.791177,0.0057075039,1
2456285.2794215335,20.1116491,0.07141167758490197,10
2456295.2804179806,19.946596230769234,0.11347148907996078,13
2456325.2834073235,18.278936,0.0075327542,1
2456335.284403771,17.609198333333335,0.18612995874627253,3
2456345.2854002183,16.961693,0.1466691081039219,3
2456355.2863966664,16.318176,0.11602000000000068,2
2456365.2873931136,15.809071962962962,0.1325241238174817,27
2456375.288389561,15.694197777777779,0.08792421903204546,9
2456385.289386009,15.785659266666665,0.09248410568702542,15
